timestep,displacement,diff with dt=5e-5
5e-05,0.153769,0.0
4e-05,0.153769,0.0
0.0001,0.153769,0.0
0.00015,0.153769,0.0
0.0002,0.153769,0.0
0.0003,0.153769,0.0
0.0004,0.153769,0.0
0.0005,0.153769,1.000000000001e-06
0.0006,0.153769,1.000000000001e-06
0.0007,0.153769,0.0
0.0008,0.153769,0.0
0.0009,0.153769,0.0
0.001,0.153769,1.000000000001e-06
0.00125,0.153769,3.0000000000030003e-06
0.0015,0.153769,5.0000000000050004e-06
0.002,0.153769,0.0
0.003,0.153769,1.5000000000015001e-05
0.004,0.153769,8.000000000008e-06
0.005,0.153769,3.900000000001125e-05
0.006,0.153769,5.100000000002325e-05
0.007,0.153769,7.60000000000205e-05
0.008,0.153769,4.600000000001825e-05
0.009,0.153769,2.1000000000021002e-05
0.01,0.153769,4.000000000001225e-05
0.0125,0.153769,0.00011099999999999999
0.015,0.153769,0.0002479999999999982
0.02,0.153769,0.0003009999999999957
0.03,0.153769,0.0005369999999999819
0.04,0.153769,0.0003939999999999777
0.05,0.153769,0.0004940000000000222
0.06,0.153769,0.0015450000000000186
0.07,0.153769,0.0026790000000000147
0.08,0.153769,0.003271999999999997
0.09,0.153769,0.0034480000000000066
0.1,0.153769,0.002816000000000013
0.125,0.153769,0.003270999999999996
0.15,0.153769,0.005382999999999999
0.2,0.153769,0.010174000000000016
0.3,0.153769,0.01420100000000002
0.4,0.153769,0.019875000000000004
0.5,0.153769,0.022381000000000012
0.6,0.153769,0.021969000000000016
0.7,0.153769,0.02011200000000002
0.8,0.153769,0.014661000000000007
0.9,0.153769,0.002801999999999999
